program,category,command,name,description
aseprite,file,file save,,
aseprite,file,(enter|confirm),,
aseprite,file,(escape|cancel),,
aseprite,draw,brush (big|bigger|large|larger|grow),,
aseprite,draw,brush (small|smaller|shrink),,
aseprite,edit,undo that,,
aseprite,edit,redo that,,
aseprite,edit,cut that,,
aseprite,edit,copy that,,
aseprite,edit,paste that,,
aseprite,edit,select stroke,,
aseprite,edit,select fill,,
aseprite,edit,select all,,
aseprite,edit,select (cell|sell|so),,
aseprite,edit,deselect,,
aseprite,edit,reselect,,
aseprite,edit,select invert,,
aseprite,edit,select (tile|till),,
aseprite,edit,delete,,
aseprite,edit,fill selection,,
aseprite,transform,move up,,
aseprite,transform,move <number> up,,
aseprite,transform,move down,,
aseprite,transform,move <number> down,,
aseprite,transform,move left,,
aseprite,transform,move <number> left,,
aseprite,transform,move right,,
aseprite,transform,move <number> right,,
aseprite,transform,flip horizontal,,
aseprite,transform,flip vertical,,
aseprite,tool,(tool|toll) options,,
aseprite,tool,select square,,
aseprite,tool,select circle,,
aseprite,tool,select lasso,,
aseprite,tool,select lasso polly,,
aseprite,tool,select (wand|on|one),,
aseprite,tool,(pencil|brush),,
aseprite,tool,spray,,
aseprite,tool,(erase|eraser),,
aseprite,tool,replace,,
aseprite,tool,(eyedrop|eyedropper) [left],,
aseprite,tool,(eyedrop|eyedropper) right,,
aseprite,tool,move,,
aseprite,tool,slice,,
aseprite,tool,(fill|pocket|bucket),,
aseprite,tool,gradient,,
aseprite,tool,line,,
aseprite,tool,curve,,
aseprite,tool,rectangle,,
aseprite,tool,(ellipse|circle),,
aseprite,tool,contour,,
aseprite,tool,polygon,,
aseprite,tool,(blur|jumble),,
aseprite,tool,text,,
aseprite,tool,crop,,
aseprite,navigate,canvas grid,,
aseprite,navigate,pan up,,
aseprite,navigate,pan <number> up,,
aseprite,navigate,pan down,,
aseprite,navigate,pan <number> down,,
aseprite,navigate,pan left,,
aseprite,navigate,pan <number> left,,
aseprite,navigate,pan right,,
aseprite,navigate,pan <number> right,,
aseprite,navigate,zoom one,,
aseprite,navigate,zoom two,,
aseprite,navigate,zoom three,,
aseprite,navigate,zoom four,,
aseprite,navigate,zoom five,,
aseprite,navigate,zoom six,,
aseprite,colour,color (swap|switch),,
aseprite,colour,color (next|right),,
aseprite,colour,color (previous|left),,
aseprite,colour,color grid,,
aseprite,colour,color wheel,,
aseprite,colour,color (you|hue) <number> up,,
aseprite,colour,color (you|hue) <number> down,,
aseprite,colour,color (saturation|that|sat) <number> up,,
aseprite,colour,color (saturation|that|sat) <number> down,,
aseprite,colour,color (value|light|lightness) <number> up,,
aseprite,colour,color (value|light|lightness) <number> down,,
aseprite,colour,color (opacity|fade) <number> up,,
aseprite,colour,color (opacity|fade) <number> down,,
aseprite,timeline,(timeline|layer) grid,,
aseprite,timeline,(lop|loop) section,,
aseprite,timeline,onion [skin],,
aseprite,animation,animation play,,
aseprite,animation,frame (next|right),,
